,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_tcp,proto_udp,conn_state_OTH,conn_state_S0,conn_state_S1,conn_state_SF
0,3.081233,0,0,0.0,3.0,180.0,0.0,0.0,C&C,1,0,0,1,0,0
1,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
2,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
3,1.847943,149,171878,4344.0,102.0,6485.0,121.0,178178.0,C&C-FileDownload,1,0,0,0,0,1
4,1.500886,152,129941,20272.0,83.0,4696.0,94.0,136285.0,C&C-FileDownload,1,0,0,0,0,1
5,3.132963,0,0,0.0,3.0,180.0,0.0,0.0,C&C,1,0,0,1,0,0
6,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
7,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
8,1.590348,149,141272,2896.0,102.0,6781.0,101.0,146532.0,C&C-FileDownload,1,0,0,0,0,1
9,1.775238,149,164489,13032.0,111.0,6985.0,118.0,172081.0,C&C-FileDownload,1,0,0,0,0,1
10,1.445668,149,125486,8688.0,88.0,5757.0,90.0,130174.0,C&C-FileDownload,1,0,0,0,0,1
11,3.155701,0,0,0.0,3.0,180.0,0.0,0.0,C&C,1,0,0,1,0,0
12,0.007489,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
13,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
14,0.100693,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
15,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
16,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
17,0.005247,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
18,0.002245,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
19,0.010509,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
20,1.185313,149,137844,1448.0,99.0,6625.0,99.0,143000.0,C&C-FileDownload,1,0,0,0,0,1
21,1.438680,148,121390,17376.0,92.0,5604.0,92.0,133422.0,C&C-FileDownload,1,0,0,0,0,1
22,3.139203,0,0,0.0,3.0,180.0,0.0,0.0,C&C,1,0,0,1,0,0
23,0.061956,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
24,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
25,0.100697,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
26,0,0,0,0.0,1.0,60.0,0.0,0.0,C&C,1,0,0,1,0,0
27,1.531888,149,139570,10136.0,100.0,6581.0,99.0,144726.0,C&C-FileDownload,1,0,0,0,0,1
28,1.612322,147,152039,11584.0,103.0,6303.0,108.0,157663.0,C&C-FileDownload,1,0,0,0,0,1
29,0.031973,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
30,2.295936,150,149980,2896.0,108.0,7058.0,107.0,155552.0,C&C-FileDownload,1,0,0,0,0,1
31,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
32,0.033738,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
33,0.024729,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
34,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
35,0.126928,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
36,0.029232,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
37,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
38,0.006994,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
39,0.024989,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
40,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
41,0.156911,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
42,0.005500,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
43,0.005243,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
44,180.296400,256,29096,0.0,214.0,11384.0,213.0,40172.0,Benign,1,0,1,0,0,0
45,0.007243,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
46,0.001997,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
47,0.104188,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
48,0.089698,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
49,0.007988,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
50,0.092450,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
51,0.047472,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
52,0.185144,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
53,0.017984,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
54,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
55,0.007250,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
56,0.002234,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
57,5.743725,872,1616,0.0,46.0,3264.0,25.0,2916.0,Benign,1,0,0,0,0,1
58,0.111444,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
59,0.004995,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
60,0.005245,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
61,0.020984,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
62,0.031724,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
63,0.100691,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
64,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
65,0.037976,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
66,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
67,0.006995,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
68,0.008247,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
69,0.112925,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
70,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
71,0.006742,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
72,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
73,0.007993,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
74,0.001998,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
75,0.102197,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
76,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
77,0.005237,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
78,0.005484,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
79,0.066962,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
80,0.033729,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
81,0.118189,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
82,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
83,0.019237,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
84,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
85,0.007229,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
86,0.001997,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
87,0.100693,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
88,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
89,0.004994,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
90,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
91,0.013245,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
92,0.030490,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
93,0.115684,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
94,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
95,0.008985,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
96,0.005514,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
