,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,proto_tcp,proto_udp,conn_state_OTH,conn_state_S0,conn_state_S1,conn_state_SF,label
117,0.101196,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
148,0.004995,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
149,0.005480,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
150,0.023740,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
151,0.006496,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
152,0.104438,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
153,0.011731,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
154,0.005493,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
155,0.006744,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
156,0.004232,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
157,0.100696,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
158,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
159,0.005251,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
160,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
161,0.015506,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
162,0.002246,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
163,0.103187,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
164,0.005246,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
165,0.007243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
166,0.005488,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
167,0.001997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
168,0.274839,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
169,0.031230,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
170,0.005231,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
171,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
172,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
147,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
173,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
146,0.100940,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
144,0.007242,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
119,0.005231,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
120,0.005479,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
121,0.016739,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
122,0.007988,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
123,0.100689,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
124,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
125,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
126,0.011243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
127,0.006996,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
128,0.001998,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
129,0.102691,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
130,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
131,0.004990,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
132,0.005245,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
133,0.066211,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
134,0.008252,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
135,0.105945,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
136,0.030967,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
137,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
138,0.005244,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
139,0.038476,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
140,0.005503,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
141,0.110432,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
142,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
143,0.012236,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
145,0.001996,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
174,0.100692,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
175,0.030997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
176,0.005242,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
207,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
